business_id,name,address,city,state,postal_code,latitude,longitude,stars_restaurant,review_count,is_open,attributes,categories,hours,url
Yghp6qTirK4CQZWn62iM4A,Lucky Kitchen,1753 Plymouth Rd,Ann Arbor,MI,48105,42.2983826188459,-83.721200420523,2.5,112,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Bike Parking': 'True', 'Accepts Apple Pay': 'False', 'Offers Catering': 'False', 'TV': 'False'}","Chinese, Gluten-Free, Asian Fusion","{'Monday': '11:0-22:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:30', 'Saturday': '11:0-22:30', 'Sunday': '12:0-22:0'}",https://www.yelp.com/biz/lucky-kitchen-ann-arbor-5?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
SNm7DhWzt5_T_Bxt01x0Mw,Salads UP,611 E Liberty St,Ann Arbor,MI,48104,42.2795599,-83.74149,3.5,106,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Masks required': 'True', 'Staff wears masks': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Bike Parking': 'True', 'Takes Reservations': 'False', 'Accepts Apple Pay': 'False', 'Waiter Service': 'False', 'Wheelchair Accessible': 'False', 'TV': 'False'}","Salad, Juice Bars & Smoothies","{'Monday': '11:0-20:0', 'Tuesday': '11:0-20:0', 'Wednesday': '11:0-20:0', 'Thursday': '11:0-20:0', 'Friday': '11:0-20:0', 'Saturday': '12:0-19:0', 'Sunday': '12:0-19:0'}",https://www.yelp.com/biz/salads-up-ann-arbor-2?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
ZEHx7DVqZpH2Z__DqdH4yg,Scorekeepers,310 Maynard St,Ann Arbor,MI,48104,42.27889,-83.74238,2.5,70,True,"{'Health Score': 'True', 'Takes Reservations': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Dancing': 'True', 'Waiter Service': 'True', 'Happy Hour Specials': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Offers Delivery': 'False', 'Accepts Cryptocurrency': 'False', 'Outdoor Seating': 'False', 'Good For Kids': 'False', 'Pool Table': 'False', 'Drive-Thru': 'False', 'Dogs Allowed': 'False', 'Bike Parking': 'False'}","Sports Bars, Burgers, American (Traditional)","{'Tuesday': '17:0-2:0', 'Wednesday': '17:0-2:0', 'Thursday': '17:0-2:0', 'Friday': '17:0-2:0', 'Saturday': '17:0-2:0'}",https://www.yelp.com/biz/scorekeepers-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
oM80Q6Da6lCFPgEgJ3j9LA,Texas Roadhouse,3133 Ann Arbor-Saline Rd,Ann Arbor,MI,48103,42.241734,-83.767535,3.0,121,True,"{'Takes Reservations': 'True', 'Offers Takeout': 'True', 'Keto Options': 'True', 'Accepts Credit Cards': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Waiter Service': 'True', 'Happy Hour Specials': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Offers Delivery': 'False', 'Accepts Apple Pay': 'False', 'Outdoor Seating': 'False', 'Dogs Allowed': 'False'}","Steakhouses, Barbeque","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}",https://www.yelp.com/biz/texas-roadhouse-ann-arbor-2?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
g8XLIA3pzW6osz0sX63c2A,Pita King,2412 E Stadium Blvd,Ann Arbor,MI,48104,42.2592964,-83.7121887,4.5,67,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Accepts Apple Pay': 'True', 'Offers Catering': 'True', 'Good For Kids': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Takes Reservations': 'False', 'Outdoor Seating': 'False', 'Good For Groups': 'False', 'Waiter Service': 'False', 'Happy Hour': 'False'}","Mediterranean, Middle Eastern","{'Monday': '11:0-18:0', 'Tuesday': '11:0-18:0', 'Wednesday': '11:0-18:0', 'Thursday': '11:0-18:0', 'Friday': '11:0-18:0', 'Saturday': '11:0-18:0'}",https://www.yelp.com/biz/pita-king-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
fUa_af0dVIxymNz20JlWpw,The Blue Leprechaun,1220 S University Ave,Ann Arbor,MI,48104,42.2747699,-83.73343,3.0,92,True,"{'Takes Reservations': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Waiter Service': 'True', 'Happy Hour Specials': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Good For Kids': 'False'}","Irish, Wraps, Sandwiches","{'Monday': '11:0-2:0', 'Tuesday': '11:0-2:0', 'Wednesday': '11:0-2:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '12:0-2:0'}",https://www.yelp.com/biz/the-blue-leprechaun-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
qGRWrctKByGGoWsVjE1SEw,Oasis Mediterranean Grill,1201 S University Ave,Ann Arbor,MI,48104,42.27519837585852,-83.73433668285183,3.0,88,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Accepts Apple Pay': 'True', 'Outdoor Seating': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Takes Reservations': 'False', 'Accepts Android Pay': 'False'}","Middle Eastern, Mediterranean, American (Traditional)","{'Monday': '11:0-21:0', 'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:0', 'Saturday': '11:0-21:0', 'Sunday': '11:0-21:0'}",https://www.yelp.com/biz/oasis-mediterranean-grill-ann-arbor-2?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
279Aj_4Hd7EhoAZOiip42g,Heidelberg,215 N Main St,Ann Arbor,MI,48104,42.2829,-83.74881,3.0,137,True,"{'Health Score': 'True', 'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Happy Hour Specials': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Accepts Apple Pay': 'False', 'Outdoor Seating': 'False', 'Good For Kids': 'False', 'Pool Table': 'False'}","German, Bars, Dance Clubs","{'Monday': '16:0-2:0', 'Tuesday': '16:0-2:0', 'Wednesday': '16:0-2:0', 'Thursday': '16:0-2:0', 'Friday': '16:0-2:0', 'Saturday': '16:0-2:0', 'Sunday': '16:0-2:0'}",https://www.yelp.com/biz/heidelberg-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
Fmt_ajwh3BHplQ-oEr-52A,Pancheros Mexican Grill,1208 S University Ave,Ann Arbor,MI,48104,42.27469,-83.73392,3.0,120,True,"{'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Accepts Credit Cards': 'True', 'Offers Catering': 'True', 'Good for Groups': 'True', 'Good For Kids': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Bike Parking': 'True', 'Takes Reservations': 'False', 'Accepts Android Pay': 'False', 'Accepts Apple Pay': 'False', 'Accepts Cryptocurrency': 'False', 'Outdoor Seating': 'False', 'Waiter Service': 'False', 'Dogs Allowed': 'False'}",Mexican,"{'Monday': '10:30-2:0', 'Tuesday': '10:30-2:0', 'Wednesday': '10:30-2:0', 'Thursday': '10:30-3:0', 'Friday': '10:30-3:0', 'Saturday': '10:30-3:0', 'Sunday': '10:30-2:0'}",https://www.yelp.com/biz/pancheros-mexican-grill-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
oVVSiUStuXVFXXIkNtvY5w,Wolverine Sushi Bar,413 E Huron St,Ann Arbor,MI,48104,42.281524,-83.743259,3.0,40,True,"{'Takes Reservations': 'True', 'Offers Delivery': 'True', 'Offers Takeout': 'True', 'Masks required': 'True', 'Staff wears masks': 'True', 'Vegan Options': 'True', 'Accepts Credit Cards': 'True', 'Accepts Android Pay': 'True', 'Accepts Apple Pay': 'True', 'Outdoor Seating': 'True', 'Offers Catering': 'True', 'Waiter Service': 'True', 'Happy Hour Specials': 'True', 'Dogs Allowed': 'True', 'Wheelchair Accessible': 'True', 'TV': 'True', 'Gender-neutral restrooms': 'True', 'Offers Military Discount': 'True', 'Open to All': 'True', 'Bike Parking': 'True', 'Accepts Cryptocurrency': 'False'}",Sushi Bars,"{'Monday': '12:0-21:30', 'Tuesday': '12:0-21:30', 'Wednesday': '12:0-21:30', 'Thursday': '12:0-21:30', 'Friday': '12:0-21:30', 'Saturday': '12:0-21:30', 'Sunday': '12:0-21:30'}",https://www.yelp.com/biz/wolverine-sushi-bar-ann-arbor?adjust_creative=prhLNiMoKIpZpKwXeR5hoA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=prhLNiMoKIpZpKwXeR5hoA
